date,hr,mm,percent,cloudy
1964-05-18,5.82,1.5,65.3,10.0
1964-05-19,0.0,0.0,57.3,9.0
1964-05-20,0.35,0.0,61.3,10.0
1964-05-21,4.75,2.8,72.0,10.0
1964-05-22,8.67,21.8,90.7,10.0
1964-05-23,3.73,0.0,90.3,10.0
1964-05-24,0.0,0.0,66.7,7.0
1964-05-25,0.0,0.0,72.3,0.0
1964-05-26,0.0,0.0,73.3,1.7
1964-05-27,0.0,0.0,77.0,9.0
1964-05-28,0.0,0.0,73.0,5.3
1964-05-29,0.0,0.0,81.7,3.3
1964-05-30,0.0,0.0,72.0,7.7
1964-05-31,0.0,0.0,73.7,3.3
1964-06-01,3.77,0.3,74.0,10.0
1964-06-02,14.73,28.9,86.3,10.0
1964-06-03,12.08,6.3,88.7,10.0
1964-06-04,0.25,0.0,71.7,6.7
1964-06-05,0.93,0.0,72.7,6.0
1964-06-06,0.62,1.6,79.3,5.0
1964-06-07,0.6,0.0,79.0,9.3
1964-06-08,0.2,0.0,81.0,10.0
1964-06-09,1.83,0.0,76.7,5.7
1964-06-10,0.72,0.4,80.3,10.0
1964-06-11,2.35,13.0,77.0,4.3
1964-06-12,0.0,0.0,73.3,0.3
1964-06-13,0.0,0.0,69.0,5.7
1964-06-14,3.62,21.0,85.0,6.7
1964-06-15,1.4,0.1,82.3,6.3
1964-06-16,0.0,0.0,87.0,6.0
1964-06-17,0.0,0.0,84.7,4.0
1964-06-18,0.0,0.0,77.0,6.7
1964-06-19,7.8,5.2,86.3,10.0
1964-06-20,2.83,0.1,82.7,10.0
1964-06-21,0.0,0.0,82.0,4.3
1964-06-22,0.0,0.0,75.3,3.3
1964-06-23,0.0,0.0,78.7,0.0
1964-06-24,0.0,0.0,74.0,10.0
1964-06-25,0.0,0.0,75.3,0.0
1964-06-26,0.0,0.0,72.0,4.7
1964-06-27,0.0,0.0,74.0,6.0
1964-06-28,0.0,0.0,70.7,0.7
1964-06-29,0.0,0.0,67.7,1.0
1964-06-30,3.12,12.0,75.7,9.0
1964-07-01,15.78,77.0,89.7,10.0
1964-07-02,23.65,32.5,94.0,10.0
1964-07-03,4.8,2.3,94.7,8.3
1964-07-04,0.0,0.0,85.7,5.7
1964-07-05,3.62,9.5,85.7,10.0
1964-07-06,0.0,0.0,86.0,10.0
1964-07-07,3.8,4.5,90.0,10.0
1964-07-08,6.32,3.5,88.3,10.0
1964-07-09,2.97,0.4,92.3,8.7
1964-07-10,1.92,0.0,86.3,9.0
1964-07-11,8.07,31.4,83.7,10.0
1964-07-12,6.62,34.3,86.0,6.3
1964-07-13,0.82,1.5,86.0,10.0
1964-07-14,7.67,67.1,92.7,9.0
1964-07-15,1.68,0.4,86.3,8.0
1964-07-16,1.17,3.7,90.0,7.0
1964-07-17,14.5,60.7,95.7,10.0
1964-07-18,7.5,28.3,88.3,10.0
1964-07-19,0.0,0.0,69.0,5.7
1964-07-20,0.0,0.0,76.3,5.0
1964-07-21,0.0,0.0,79.7,7.7
1964-07-22,0.27,0.0,82.7,8.0
1964-07-23,16.18,72.2,91.7,10.0
1964-07-24,2.88,0.6,85.0,4.3
1964-07-25,0.0,0.0,75.7,3.3
1964-07-26,0.0,0.0,82.3,1.0
1964-07-27,0.0,0.0,79.0,4.7
1964-07-28,0.83,6.6,78.7,3.3
1964-07-29,5.98,10.8,77.3,9.7
1964-07-30,9.82,80.4,93.3,8.0
1964-07-31,0.17,0.2,82.7,8.0
1964-08-01,0.0,0.0,80.7,4.7
1964-08-02,0.0,0.0,61.0,6.0
1964-08-03,2.42,0.6,76.7,10.0
1964-08-04,1.5,6.8,73.0,6.7
1964-08-05,0.28,0.0,82.3,4.3
1964-08-06,2.85,1.9,87.3,7.0
1964-08-07,4.0,16.9,80.0,9.3
1964-08-08,4.85,51.0,89.7,9.7
1964-08-09,14.05,85.5,93.0,9.0
1964-08-10,4.9,20.6,90.3,10.0
1964-08-11,4.88,3.5,88.3,9.3
1964-08-12,2.58,1.2,82.0,5.7
1964-08-13,0.0,0.0,82.3,3.3
1964-08-14,0.0,0.0,81.7,8.3
1964-08-15,0.0,0.0,82.7,6.0
1964-08-16,0.0,0.0,85.0,9.3
1964-08-17,0.1,0.0,79.0,4.7
1964-08-18,0.0,0.0,69.0,1.7
1964-08-19,0.0,0.0,75.0,5.3
1964-08-20,3.93,43.6,80.7,3.7
1964-08-21,0.0,0.0,82.7,3.7
1964-08-22,0.0,0.0,69.3,2.3
1964-08-23,0.1,0.0,66.0,8.7
1964-08-24,3.43,1.2,81.3,10.0
1964-08-25,2.38,0.6,81.7,4.0
1964-08-26,0.0,0.0,79.7,6.7
1964-08-27,1.72,3.2,81.3,3.7
1964-08-28,0.0,0.0,80.3,5.7
1964-08-29,0.0,0.0,74.7,5.7
1964-08-30,0.0,0.0,79.0,7.0
1964-08-31,17.48,73.4,90.0,10.0
1964-09-01,12.18,32.3,94.7,10.0
1964-09-02,14.38,26.7,93.7,10.0
1964-09-03,4.8,1.2,89.0,9.3
1964-09-04,6.88,30.3,93.3,10.0
1964-09-05,0.0,0.0,81.3,1.7
1964-09-06,0.0,0.0,77.3,10.0
1964-09-07,0.0,0.0,60.3,4.7
1964-09-08,12.98,64.3,92.7,10.0
1964-09-09,0.0,0.0,86.3,6.7
1964-09-10,0.0,0.0,85.0,6.7
1964-09-11,0.0,0.0,78.7,0.7
1964-09-12,5.72,1.3,76.3,7.0
1964-09-13,5.83,9.3,82.7,10.0
1964-09-14,14.42,15.6,93.0,10.0
1964-09-15,0.0,0.0,85.7,10.0
1964-09-16,0.0,0.0,75.0,6.7
1964-09-17,4.67,0.8,82.3,7.3
1964-09-18,18.2,77.0,88.0,10.0
1964-09-19,2.87,0.3,78.7,10.0
1964-09-20,0.0,0.0,80.0,9.7
1964-09-21,0.0,0.0,77.7,4.7
1964-09-22,0.0,0.0,73.3,6.7
1964-09-23,0.0,0.0,70.0,0.3
1964-09-24,0.0,0.0,66.7,2.7
1964-09-25,0.0,0.0,82.3,2.3
1964-09-26,1.77,1.1,74.7,10.0
1964-09-27,6.27,10.1,82.3,10.0
1964-09-28,0.0,0.0,76.3,4.7
1964-09-29,0.0,0.0,75.3,0.0
1964-09-30,0.0,0.0,81.0,0.7
1964-10-01,0.0,0.0,78.3,3.3
1964-10-02,2.78,0.0,81.7,9.3
1964-10-03,4.1,1.0,79.0,8.7
1964-10-04,8.03,4.5,81.0,10.0
1964-10-05,6.12,16.1,72.7,10.0
1964-10-06,0.0,0.0,74.3,7.0
1964-10-07,0.0,0.0,76.7,8.7
1964-10-08,0.0,0.0,61.7,6.3
1964-10-09,0.0,0.0,57.0,0.0
1964-10-10,0.0,0.0,73.7,0.0
1964-10-11,0.0,0.0,74.3,2.3
1964-10-12,0.0,0.0,73.3,10.0
1964-10-13,5.07,1.2,94.0,8.0
1964-10-14,0.0,0.0,76.7,4.7
1964-10-15,0.0,0.0,77.7,0.3
1964-10-16,2.23,0.6,79.3,7.0
1964-10-17,2.17,0.6,71.3,7.0
1964-10-18,0.0,0.0,70.0,3.3
1964-10-19,0.0,0.0,76.0,8.7
